Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;12188;11764;23952
1 a 4 anos;49737;48681;98418
5 a 9 anos;68962;66406;135368
10 a 14 anos;79079;75672;154751
15 a 19 anos;78075;76704;154779
20 a 29 anos;154611;150718;305329
30 a 39 anos;127517;130015;257532
40 a 49 anos;108302;101256;209558
50 a 59 anos;71154;67397;138551
60 a 69 anos;37645;34845;72490
70 a 79 anos;18997;17736;36733
80 anos e mais;7113;6549;13662
Total;813380;787743;1601123
