Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;58418;57544;115962
1 a 4 anos;257365;248556;505921
5 a 9 anos;342486;327115;669601
10 a 14 anos;365391;354532;719923
15 a 19 anos;338554;335973;674527
20 a 29 anos;651952;665953;1317905
30 a 39 anos;471162;486333;957495
40 a 49 anos;339497;360333;699830
50 a 59 anos;241743;265097;506840
60 a 69 anos;159541;167539;327080
70 a 79 anos;92053;99635;191688
80 anos e mais;39222;48262;87484
Total;3357384;3416872;6774256
