Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;60977;58886;119863
1 a 4 anos;246761;238521;485282
5 a 9 anos;352647;338921;691568
10 a 14 anos;431601;416398;847999
15 a 19 anos;431215;423062;854277
20 a 29 anos;894006;892227;1786233
30 a 39 anos;758188;779287;1537475
40 a 49 anos;755039;807445;1562484
50 a 59 anos;647914;711204;1359118
60 a 69 anos;395052;458768;853820
70 a 79 anos;197764;276186;473950
80 anos e mais;73598;146593;220191
Total;5244762;5547498;10792260
