Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;63987;61807;125794
1 a 4 anos;268074;258509;526583
5 a 9 anos;371797;358925;730722
10 a 14 anos;419694;407109;826803
15 a 19 anos;399649;398408;798057
20 a 29 anos;798848;832318;1631166
30 a 39 anos;672473;731038;1403511
40 a 49 anos;536115;607101;1143216
50 a 59 anos;363942;440801;804743
60 a 69 anos;237165;299772;536937
70 a 79 anos;123845;176541;300386
80 anos e mais;59692;93602;153294
Total;4315281;4665931;8981212
