Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;40059;39094;79153
1 a 4 anos;159338;152481;311819
5 a 9 anos;215309;206251;421560
10 a 14 anos;263020;252800;515820
15 a 19 anos;275503;268535;544038
20 a 29 anos;596025;577790;1173815
30 a 39 anos;499480;498822;998302
40 a 49 anos;471029;486074;957103
50 a 59 anos;353578;374023;727601
60 a 69 anos;195230;216633;411863
70 a 79 anos;91334;118484;209818
80 anos e mais;32659;56932;89591
Total;3192564;3247919;6440483
