Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;94817;91769;186586
1 a 4 anos;383202;373524;756726
5 a 9 anos;543727;525863;1069590
10 a 14 anos;671287;650236;1321523
15 a 19 anos;632552;624293;1256845
20 a 29 anos;1329418;1371534;2700952
30 a 39 anos;1227361;1331976;2559337
40 a 49 anos;1090482;1218925;2309407
50 a 59 anos;896001;1066173;1962174
60 a 69 anos;523103;667820;1190923
70 a 79 anos;274162;405881;680043
80 anos e mais;110530;224626;335156
Total;7776642;8552620;16329262
