Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;25773;25188;50961
1 a 4 anos;106134;102810;208944
5 a 9 anos;150003;144551;294554
10 a 14 anos;171395;166841;338236
15 a 19 anos;154229;154439;308668
20 a 29 anos;276785;296922;573707
30 a 39 anos;226109;250722;476831
40 a 49 anos;177222;198529;375751
50 a 59 anos;120202;141302;261504
60 a 69 anos;77320;89359;166679
70 a 79 anos;37551;49105;86656
80 anos e mais;16163;23861;40024
Total;1538886;1643629;3182515
