Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;22727;21788;44515
1 a 4 anos;93232;89516;182748
5 a 9 anos;127163;121832;248995
10 a 14 anos;147325;141224;288549
15 a 19 anos;148156;145522;293678
20 a 29 anos;310369;310755;621124
30 a 39 anos;239578;250654;490232
40 a 49 anos;211510;228161;439671
50 a 59 anos;128906;148287;277193
60 a 69 anos;87383;105079;192462
70 a 79 anos;45625;60843;106468
80 anos e mais;26722;38333;65055
Total;1588696;1661994;3250690
