Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;61276;59190;120466
1 a 4 anos;251718;241497;493215
5 a 9 anos;341257;328565;669822
10 a 14 anos;427865;411487;839352
15 a 19 anos;426483;421698;848181
20 a 29 anos;804020;826022;1630042
30 a 39 anos;619980;657820;1277800
40 a 49 anos;525111;570331;1095442
50 a 59 anos;336311;393357;729668
60 a 69 anos;231125;270152;501277
70 a 79 anos;129537;167381;296918
80 anos e mais;70293;98315;168608
Total;4224976;4445815;8670791
