Faixa Etaria;Masculino;Feminino;Total
Menor 1 ano;4884;4688;9572
1 a 4 anos;19782;18766;38548
5 a 9 anos;26064;24803;50867
10 a 14 anos;27795;27086;54881
15 a 19 anos;24774;24181;48955
20 a 29 anos;46457;46871;93328
30 a 39 anos;35547;36405;71952
40 a 49 anos;26255;24954;51209
50 a 59 anos;17510;16171;33681
60 a 69 anos;9208;7860;17068
70 a 79 anos;3952;3565;7517
80 anos e mais;1544;1755;3299
Total;243772;237105;480877
